triple_id,id,claim_id,book_name,s,p,o,time_bucket,polarity,confidence,evidence_confidence,chunk_id,excerpt_span,excerpt_text,chapter_id,chunk_pos,support_label,run_id,best_rank,is_best
t_00011,108,108_c02,The Count of Monte Cristo,Noirtier,Claim,Noirtier pinned on his son Villefort the hope that the boy would carry his ideals forward.,MID,POS,0.788787191218122,0.6565348320517771,montecristo_ch118_w0648,"[522, 845]","“Do you still wish to dispose of all?” “Yes.” “But they will contest the will after your death?” “No.” “My father knows me,” replied Villefort; “he is quite sure that his wishes will be held sacred by me; besides, he understands that in my position I cannot plead against the poor.” The eye of Noirtier beamed with triumph.",ch118,0.549763,SUPPORT,run_20260225_221138,1,True
t_00012,110,110_c03,The Count of Monte Cristo,Noirtier,Claim,Noirtier weighed his past.,LATE,POS,0.8142769327936764,0.7293626651247896,montecristo_ch118_w0877,"[331, 817]","de Villefort, who appeared to be aware of all the circumstances detailed this morning, should not have anticipated him in this announcement.” No one who had seen the magistrate at this moment, so thoroughly unnerved by the recent inauspicious combination of circumstances, would have supposed for an instant that he had anticipated the annoyance; although it certainly never had occurred to him that his father would carry candor, or rather rudeness, so far as to relate such a history.",ch118,0.6972,SUPPORT,run_20260225_221138,3,False
t_00013,110,110_c03,The Count of Monte Cristo,Noirtier,Claim,Noirtier weighed his past.,MID,POS,0.8461922152148309,0.8205491863280884,montecristo_ch118_w0798,"[1407, 1573]","The idea that her strength had failed her in attempting to escape, and that she had fainted in one of the paths, was the one that most impressed itself upon his mind.",ch118,0.645892,SUPPORT,run_20260225_221138,2,False
t_00014,110,110_c03,The Count of Monte Cristo,Noirtier,Claim,Noirtier weighed his past.,LATE,POS,0.8105375594624318,0.7186787413212335,montecristo_ch118_w0880,"[1074, 1372]","“But one thing I can tell you, of which I do not think you are aware; that is, that I have always been opposed to this marriage, and that the contract was entered into entirely without my consent or approbation.” Noirtier regarded his daughter-in-law with the look of a man desiring an explanation.",ch118,0.699146,SUPPORT,run_20260225_221138,4,False
t_00015,110,110_c03,The Count of Monte Cristo,Noirtier,Claim,Noirtier weighed his past.,LATE,POS,0.7632527110106999,0.5835791743162854,montecristo_ch118_w0881,"[741, 930]","Noirtier sent for the notary; the first will was torn up and a second made, in which he left the whole of his fortune to Valentine, on condition that she should never be separated from him.",ch118,0.699794,SUPPORT,run_20260225_221138,6,False
t_00016,110,110_c03,The Count of Monte Cristo,Noirtier,Claim,Noirtier weighed his past.,MID,POS,0.8471103391638555,0.8231723976110153,montecristo_ch118_w0632,"[1196, 1833]","d’Épinay and his family; besides, he had no relations nearer than an uncle and aunt, his mother having died at his birth, and his father having been assassinated in 1815, that is to say, when he was but two years old; it naturally followed that the child was permitted to choose his own pursuits, and he has, therefore, seldom acknowledged any other authority but that of his own will.” “That assassination was a mysterious affair,” said Villefort, “and the perpetrators have hitherto escaped detection, although suspicion has fallen on the head of more than one person.” Noirtier made such an effort that his lips expanded into a smile.",ch118,0.539446,SUPPORT,run_20260225_221138,1,True
t_00017,110,110_c03,The Count of Monte Cristo,Noirtier,Claim,Noirtier weighed his past.,EARLY,POS,0.7733243265619876,0.6123552187485359,montecristo_ch117_w0071,"[928, 1143]","Except the recollection of the line of politics his father had adopted, and which might interfere, unless he acted with the greatest prudence, with his own career, Gérard de Villefort was as happy as a man could be.",ch117,0.04754,SUPPORT,run_20260225_221138,5,False
t_00018,112,112_c02,The Count of Monte Cristo,Noirtier,Claim,Noirtier fed the avenger vital information,LATE,POS,0.825530735799469,0.761516387998483,montecristo_ch118_w1155,"[1656, 1959]","“Gentlemen,” said Morrel, reading all that passed through the minds of the witnesses to the scene, “I know what I am saying, and you know as well as I do what I am about to say—Valentine has been assassinated!” Villefort hung his head, d’Avrigny approached nearer, and Noirtier said “Yes” with his eyes.",ch118,0.876379,SUPPORT,run_20260225_221138,1,True
t_00019,112,112_c02,The Count of Monte Cristo,Noirtier,Claim,Noirtier fed the avenger vital information,EARLY,POS,0.8055759172848476,0.70450262081385,montecristo_ch117_w0189,"[502, 720]","You tell me he burned the letter?” “He did; saying at the same time, ‘You see I thus destroy the only proof existing against you.’” “This action is somewhat too sublime to be natural.” “You think so?” “I am sure of it.",ch117,0.122815,SUPPORT,run_20260225_221138,3,False
t_00020,112,112_c02,The Count of Monte Cristo,Noirtier,Claim,Noirtier fed the avenger vital information,EARLY,POS,0.8254858743949828,0.7613882125570935,montecristo_ch117_w0107,"[1051, 1904]","There he saw the grand-marshal, who charged him with an oral message to a Bonapartist in Paris, whose name I could not extract from him; but this mission was to prepare men’s minds for a return (it is the man who says this, sire)—a return which will soon occur.” “And where is this man?” “In prison, sire.” “And the matter seems serious to you?” “So serious, sire, that when the circumstance surprised me in the midst of a family festival, on the very day of my betrothal, I left my bride and friends, postponing everything, that I might hasten to lay at your majesty’s feet the fears which impressed me, and the assurance of my devotion.” “True,” said Louis XVIII., “was there not a marriage engagement between you and Mademoiselle de Saint-Méran?” “Daughter of one of your majesty’s most faithful servants.” “Yes, yes; but let us talk of this plot, M.",ch117,0.070523,SUPPORT,run_20260225_221138,2,False
t_00021,112,112_c02,The Count of Monte Cristo,Noirtier,Claim,Noirtier fed the avenger vital information,LATE,POS,0.7419508210465103,0.5227166315614579,montecristo_ch118_w0983,"[1817, 2042]","Albert listened, trembling now with hope, then with anger, and then again with shame, for from Beauchamp’s confidence he knew his father was guilty, and he asked himself how, since he was guilty, he could prove his innocence.",ch118,0.765098,SUPPORT,run_20260225_221138,4,False
t_00022,117,117_c02,The Count of Monte Cristo,Faria,Claim,Faria the eventual clue to Monte Cristo's treasure.,EARLY,POS,0.8017141249686777,0.693468928481936,montecristo_ch118_w0008,"[0, 841]","together, and judge for yourself.” Dantès obeyed, and the conjointed pieces gave the following: 0245m “This 25th day of April, 1498, be...ing invited to dine by his Holiness Alexander VI., and fearing that not...content with making me pay for my hat, he may desire to become my heir, and re...serves for me the fate of Cardinals Caprara and Bentivoglio, who were poisoned,...I declare to my nephew, Guido Spada, my sole heir, that I have bu...ried in a place he knows and has visited with me, that is, in...the caves of the small Island of Monte Cristo, all I poss...essed of ingots, gold, money, jewels, diamonds, gems; that I alone...know of the existence of this treasure, which may amount to nearly two mil...lions of Roman crowns, and which he will find on raising the twentieth ro...ck from the small creek to the east in a right line.",ch118,0.14057,SUPPORT,run_20260225_221138,1,True
t_00023,131,131_c02,The Count of Monte Cristo,Faria,Claim,Faria startled tutors with his memory.,EARLY,POS,0.8232292321029728,0.754940663151351,montecristo_ch117_w0190,"[763, 978]","his father!” “Yes, his father,” replied the abbé; “his right name was Noirtier de Villefort.” At this instant a bright light shot through the mind of Dantès, and cleared up all that had been dark and obscure before.",ch117,0.123455,SUPPORT,run_20260225_221138,1,True
t_00024,133,133_c02,The Count of Monte Cristo,Faria,Claim,Faria reason could be fused into one worldview.,MID,POS,0.7610501603266531,0.5772861723618657,montecristo_ch118_w0335,"[730, 1133]","Certainly these are questions that, in your place, I should like to have answered.” “My dear Franz,” replied Albert, “when, upon receipt of my letter, you found the necessity of asking the count’s assistance, you promptly went to him, saying, ‘My friend Albert de Morcerf is in danger; help me to deliver him.’ Was not that nearly what you said?” 20222m “It was.” “Well, then, did he ask you, ‘Who is M.",ch118,0.34899,SUPPORT,run_20260225_221138,2,False
t_00025,133,133_c02,The Count of Monte Cristo,Faria,Claim,Faria reason could be fused into one worldview.,EARLY,POS,0.7941215235704315,0.6717757816298044,montecristo_ch117_w0141,"[0, 1091]","government?” “Because I was arrested at Piombino, and I presume that, like Milan and Florence, Piombino has become the capital of some French department.” “Ah,” said the inspector, “you have not the latest news from Italy?” “My information dates from the day on which I was arrested,” returned the Abbé Faria; “and as the emperor had created the kingdom of Rome for his infant son, I presume that he has realized the dream of Machiavelli and Cæsar Borgia, which was to make Italy a united kingdom.” “Monsieur,” returned the inspector, “Providence has changed this gigantic plan you advocate so warmly.” “It is the only means of rendering Italy strong, happy, and independent.” “Very possibly; only I am not come to discuss politics, but to inquire if you have anything to ask or to complain of.” “The food is the same as in other prisons,—that is, very bad; the lodging is very unhealthful, but, on the whole, passable for a dungeon; but it is not that which I wish to speak of, but a secret I have to reveal of the greatest importance.” “We are coming to the point,” whispered the governor.",ch117,0.092324,SUPPORT,run_20260225_221138,1,True
t_00026,134,134_c02,The Count of Monte Cristo,Faria,Claim,Faria propagandist in a campaign against corrupt rulers.,EARLY,POS,0.8651155854285562,0.8746159583673034,montecristo_ch117_w0168,"[182, 1077]","Ah, my friend!” said the abbé, turning towards Dantès, and surveying him with the kindling gaze of a prophet, “you are young, you will see all this come to pass.” “Probably, if ever I get out of prison!” “True,” replied Faria, “we are prisoners; but I forget this sometimes, and there are even moments when my mental vision transports me beyond these walls, and I fancy myself at liberty.” “But wherefore are you here?” “Because in 1807 I dreamed of the very plan Napoleon tried to realize in 1811; because, like Machiavelli, I desired to alter the political face of Italy, and instead of allowing it to be split up into a quantity of petty principalities, each held by some weak or tyrannical ruler, I sought to form one large, compact, and powerful empire; and, lastly, because I fancied I had found my Cæsar Borgia in a crowned simpleton, who feigned to enter into my views only to betray me.",ch117,0.109405,SUPPORT,run_20260225_221138,1,True
t_00027,14,14_c01,In search of the castaways,Jacques Paganel,Claim,Jacques Paganel Mutual recognition with Major McNabbs.,MID,POS,0.8734474065601574,0.8984211616004495,castaways_ch028_w0003,"[1247, 1665]","""Not at all; and if you doubt my veracity, I will cite their names."" ""Ah!"" said the major, quietly, ""you clever people stick at nothing."" ""Major,"" said Paganel, ""will you wager your rifle against my telescope that I cannot name at least fifty Australian explorers?"" ""Of course, Paganel, if you like,"" replied MacNabb, seeing that he could not now recede from his position without incurring the ridicule of the company.",ch028,0.42849,SUPPORT,run_20260225_221138,2,False
t_00028,14,14_c03,In search of the castaways,Jacques Paganel,Claim,Jacques Paganel confirmed their identities by exchanging certain hand signs.,MID,POS,0.8893653059899806,0.9439008742570877,castaways_ch028_w0004,"[851, 997]","""You have shown that there is nothing, great or small, about Australia, of which you are ignorant."" ""Nay, madam,"" said the geographer, with a bow.",ch028,0.430083,SUPPORT,run_20260225_221138,1,True
t_00029,19,19_c01,In search of the castaways,Jacques Paganel,Claim,Jacques Paganel spoke both French.,EARLY,POS,0.8639939808050077,0.8714113737285935,castaways_ch007_w0000,"[570, 911]","""And now that our introduction is over,"" added he, ""will you permit me, Monsieur Paganel, to ask you a question?"" ""Twenty, my lord,"" replied Jacques Paganel; ""it will always be a pleasure to converse with you."" ""You arrived on board this vessel the day before yesterday?"" ""Yes, my lord, day before yesterday, at eight o'clock in the evening.",ch007,0.093506,SUPPORT,run_20260225_221138,1,True
t_00030,19,19_c01,In search of the castaways,Jacques Paganel,Claim,Jacques Paganel spoke both French.,EARLY,POS,0.8212001223705516,0.7491432067730045,castaways_ch008_w0004,"[1074, 1644]","""My lord, you are a tempter."" ""I add that we shall visit Port Famine."" ""Port Famine!"" cried the Frenchman, assailed on all sides; ""that port so celebrated in geographical fasts!"" ""Consider also, Monsieur Paganel,"" continued Lady Helena, ""that in this enterprise you will have the right to associate the name of France with that of Scotland."" ""Yes; doubtless."" ""A geographer may be very serviceable to our expedition; and what is more noble than for science to enlist in the service of humanity?"" ""That is well said, madam."" ""Believe me, try chance, or rather Providence.",ch008,0.114223,SUPPORT,run_20260225_221138,2,False
t_00031,28,28_c04,In search of the castaways,Tom Ayrton/Ben Joyce,Claim,Tom Ayrton/Ben Joyce first taste 'legalised plunder.'.,LATE,POS,0.8078205173440582,0.7109157638401662,castaways_ch057_w0003,"[821, 993]","However it may be, Captain Grant did not hesitate to land me, April 8, 1862, on the west coast of Australia."" ""Australia!"" exclaimed the major, interrupting Ayrton's story.",ch057,0.943184,SUPPORT,run_20260225_221138,1,True
t_00032,39,39_c01,In search of the castaways,Tom Ayrton/Ben Joyce,Claim,After discharge he adopted the alias Ben Joyce.,MID,POS,0.8417893462020788,0.8079695605773679,castaways_ch041_w0003,"[249, 349]","Call him Ben Joyce, for he has well earned his name.' These rascals then left the wood of gum-trees.",ch041,0.645415,SUPPORT,run_20260225_221138,1,True
t_00033,42,42_c02,In search of the castaways,Tom Ayrton/Ben Joyce,Claim,Tom Ayrton/Ben Joyce first mate Fletcher valued his experience.,EARLY,POS,0.813061284562879,0.7258893844653683,castaways_ch003_w0004,"[1346, 1526]","oh, please tell me!"" ""My dear child,"" said Lady Helena, ""God forbid that I should answer you lightly on such a subject; I would not give you a vain hope----"" ""Please, madam, speak!",ch003,0.043474,SUPPORT,run_20260225_221138,1,True
t_00034,43,43_c02,In search of the castaways,Tom Ayrton/Ben Joyce,Claim,Tom Ayrton/Ben Joyce fled to the Southern Hemisphere.,LATE,POS,0.8017604362324824,0.693601246378521,castaways_ch056_w0001,"[1115, 1204]","Who can say why I came to Australia, since Captain Grant is no longer here to inform you?",ch056,0.925668,SUPPORT,run_20260225_221138,1,True
t_00035,44,44_c01,In search of the castaways,Tom Ayrton/Ben Joyce,Claim,Tom Ayrton/Ben Joyce remorse to the surface.,EARLY,POS,0.802285706451062,0.6951020184316057,castaways_ch003_w0006,"[456, 661]","My husband desired to submit this indisputable document to the authorities in London, to induce them to send a vessel immediately in search of Captain Grant."" ""Is it possible, madam!"" cried the young girl.",ch003,0.047319,SUPPORT,run_20260225_221138,1,True
t_00036,46,46_c03,In search of the castaways,Thalcave,Claim,Thalcave's mother died giving birth.,EARLY,POS,0.8995556625127792,0.9730161786079407,castaways_ch004_w0000,"[791, 990]","Mary and Robert Grant were the only children of Captain Harry Grant, whose wife had died at the birth of Robert, and during his long voyages his children were left to the care of his good old cousin.",ch004,0.049612,SUPPORT,run_20260225_221138,1,True
t_00037,69,69_c02,In search of the castaways,Kai-Koumou,Claim,Kai-Koumou left his nature darker.,LATE,POS,0.8702060880661011,0.8891602516174316,castaways_ch049_w0005,"[377, 536]","They both ruled the powerful tribes of the Waikato with equal rank; and, during this interview, although Kai-Koumou smiled, his eyes betrayed a deep hostility.",ch049,0.814202,SUPPORT,run_20260225_221138,1,True
t_00038,6,6_c03,In search of the castaways,Jacques Paganel,Claim,Jacques Paganel ended in mutual respect.,MID,POS,0.9053551975786687,0.989586278796196,castaways_ch028_w0004,"[851, 997]","""You have shown that there is nothing, great or small, about Australia, of which you are ignorant."" ""Nay, madam,"" said the geographer, with a bow.",ch028,0.430083,SUPPORT,run_20260225_221138,1,True
t_00039,6,6_c03,In search of the castaways,Jacques Paganel,Claim,Jacques Paganel ended in mutual respect.,EARLY,POS,0.8240650376234854,0.7573286789242438,castaways_ch006_w0007,"[214, 423]","Burdness, you are going to introduce me----"" And advancing with perfect ease, without waiting for the captain,-- ""Madam"" said he to Miss Grant, ""Miss"" to Lady Helena, ""Sir"" he added, addressing Lord Glenarvan.",ch006,0.091297,SUPPORT,run_20260225_221138,11,False
t_00040,6,6_c03,In search of the castaways,Jacques Paganel,Claim,Jacques Paganel ended in mutual respect.,MID,POS,0.879109189010212,0.9145976828863197,castaways_ch027_w0001,"[114, 413]","From the deck they endeavored to count those who were returning.] ""You need not blush, Robert,"" said Captain Mangles; ""you have behaved like the worthy son of Captain Grant."" He stretched out his arms towards Mary's brother, and pressed his lips to the boy's cheeks, which were still wet with tears.",ch027,0.408597,SUPPORT,run_20260225_221138,4,False
t_00041,6,6_c03,In search of the castaways,Jacques Paganel,Claim,Jacques Paganel ended in mutual respect.,MID,POS,0.8186709726481014,0.7419170647088609,castaways_ch027_w0000,"[1859, 2046]","From the deck they endeavored to count those who were returning.] ""You need not blush, Robert,"" said Captain Mangles; ""you have behaved like the worthy son of Captain Grant."" He stretched",ch027,0.406449,SUPPORT,run_20260225_221138,12,False
t_00042,6,6_c03,In search of the castaways,Jacques Paganel,Claim,Jacques Paganel ended in mutual respect.,EARLY,POS,0.8465472763650725,0.8215636467573502,castaways_ch003_w0005,"[0, 186]","possible that you will one day see your father again."" ""Alas, alas!"" exclaimed Miss Grant, who could not restrain her tears, while Robert covered the hands of Lady Glenarvan with kisses.",ch003,0.04551,SUPPORT,run_20260225_221138,10,False
t_00043,6,6_c03,In search of the castaways,Jacques Paganel,Claim,Jacques Paganel ended in mutual respect.,EARLY,POS,0.8802130564757535,0.9177515899307244,castaways_ch007_w0000,"[570, 911]","""And now that our introduction is over,"" added he, ""will you permit me, Monsieur Paganel, to ask you a question?"" ""Twenty, my lord,"" replied Jacques Paganel; ""it will always be a pleasure to converse with you."" ""You arrived on board this vessel the day before yesterday?"" ""Yes, my lord, day before yesterday, at eight o'clock in the evening.",ch007,0.093506,SUPPORT,run_20260225_221138,2,False
t_00044,6,6_c03,In search of the castaways,Jacques Paganel,Claim,Jacques Paganel ended in mutual respect.,EARLY,POS,0.8750259735505214,0.9029313530014895,castaways_ch010_w0008,"[685, 905]","Lady Helena cried for the last time,-- ""My friends, God help you!"" ""And he will help us, madam,"" answered Jacques Paganel; ""for, I assure you, we shall help ourselves."" ""Forward!"" shouted Captain Mangles to his engineer.",ch010,0.142631,SUPPORT,run_20260225_221138,5,False
t_00045,6,6_c03,In search of the castaways,Jacques Paganel,Claim,Jacques Paganel ended in mutual respect.,EARLY,POS,0.8542354069220616,0.8435297340630329,castaways_ch007_w0001,"[74, 419]","It is my brightest dream, which shall be realized at last in the country of the elephants and the Thugs."" ""Then you would not care to visit another country?"" ""No, my lord; it would be even disagreeable, for I have letters from Lord Somerset to the governor-general of India, and a mission from the Geographical Society which I must fulfil."" ""Ah!",ch007,0.095685,SUPPORT,run_20260225_221138,9,False
t_00046,6,6_c03,In search of the castaways,Jacques Paganel,Claim,Jacques Paganel ended in mutual respect.,EARLY,POS,0.8626977905723116,0.8677079730637471,castaways_ch007_w0004,"[1196, 1476]","I shall be only one hundred and eighty leagues from Lisbon, and will wait there for means of further conveyance."" ""Well, Monsieur Paganel,"" said Glenarvan, ""it shall be as you desire; and, for my part, I am happy that I can offer you for a few days the hospitalities of my vessel.",ch007,0.102053,SUPPORT,run_20260225_221138,8,False
t_00047,6,6_c03,In search of the castaways,Jacques Paganel,Claim,Jacques Paganel ended in mutual respect.,EARLY,POS,0.8801759208601363,0.9176454881718178,castaways_ch003_w0006,"[662, 930]","""Did you do this for us?"" ""Yes, my dear miss, and I expect Lord Glenarvan every moment."" ""Madam,"" said the young girl, in a deep tone of gratitude, and with fervency, ""may Heaven bless Lord Glenarvan and you!"" ""Dear child,"" answered Lady Helena, ""we deserve no thanks.",ch003,0.047319,SUPPORT,run_20260225_221138,3,False
t_00048,6,6_c03,In search of the castaways,Jacques Paganel,Claim,Jacques Paganel ended in mutual respect.,EARLY,POS,0.866977869869302,0.8799367710551486,castaways_ch003_w0004,"[1346, 1526]","oh, please tell me!"" ""My dear child,"" said Lady Helena, ""God forbid that I should answer you lightly on such a subject; I would not give you a vain hope----"" ""Please, madam, speak!",ch003,0.043474,SUPPORT,run_20260225_221138,7,False
t_00049,6,6_c03,In search of the castaways,Jacques Paganel,Claim,Jacques Paganel ended in mutual respect.,EARLY,POS,0.8714401672607008,0.8926861921734307,castaways_ch008_w0004,"[505, 693]","This is a river very little known, and one of those which flow on the map too much according to the fancy of the geographer."" ""I know it, my dear lord; there are errors of several degrees.",ch008,0.114223,SUPPORT,run_20260225_221138,6,False
t_00050,75,75_c03,In search of the castaways,Kai-Koumou,Claim,Kai-Koumou viewd volcanic eruptions as divine punishment against colonizers.,LATE,POS,0.8183062084941009,0.7408748814117164,castaways_ch053_w0004,"[266, 576]","Those whom the fiery flood had not reached fled, and ascended the surrounding hills, turning and gazing back at this terrific phenomenon, with which their god, in his wrath, had overwhelmed the desecrators of the sacred mountain; while at certain moments they were heard howling their consecratory cry: ""Taboo!",ch053,0.88821,SUPPORT,run_20260225_221138,1,True
t_00051,82,82_c03,In search of the castaways,Kai-Koumou,Claim,Kai-Koumou pieced together enough words for rough conversation.,LATE,POS,0.8788704883354911,0.9139156809585458,castaways_ch049_w0006,"[406, 702]","""Will not your people accept you in exchange for our Tohonga?"" ""Not me alone,"" replied Glenarvan; ""but perhaps all of us."" ""Among the Maoris,"" said Kai-Koumou, ""it is one for one."" ""Offer these ladies first in exchange for your priest,"" answered Glenarvan, pointing to Lady Helena and Mary Grant.",ch049,0.816427,SUPPORT,run_20260225_221138,1,True
t_00052,82,82_c03,In search of the castaways,Kai-Koumou,Claim,Kai-Koumou pieced together enough words for rough conversation.,LATE,POS,0.81492818551486,0.7312233871853143,castaways_ch050_w0002,"[1905, 1965]","""You shall all die to-morrow at daybreak!"" cried Kai-Koumou.",ch050,0.823641,SUPPORT,run_20260225_221138,2,False
t_00053,82,82_c03,In search of the castaways,Kai-Koumou,Claim,Kai-Koumou pieced together enough words for rough conversation.,LATE,POS,0.8140961908441069,0.728846259554591,castaways_ch050_w0003,"[134, 194]","""You shall all die to-morrow at daybreak!"" cried Kai-Koumou.",ch050,0.825785,SUPPORT,run_20260225_221138,3,False
t_00054,83,83_c02,In search of the castaways,Kai-Koumou,Claim,Kai-Koumou the two fugitives pooled their languages.,LATE,POS,0.7815365370529499,0.6358186772941427,castaways_ch049_w0006,"[1151, 1301]","Do you think that Kai-Koumou's eyes cannot read your heart?"" Then, pointing to Lady Helena, he said: ""That is your wife!"" ""No, mine!"" cried Kara-Tété.",ch049,0.816427,SUPPORT,run_20260225_221138,2,False
t_00055,83,83_c02,In search of the castaways,Kai-Koumou,Claim,Kai-Koumou the two fugitives pooled their languages.,LATE,POS,0.8591079246299114,0.8574512132283183,castaways_ch050_w0002,"[1566, 1747]","As soon as Kai-Koumou perceived him, he said in English, evidently that he might be understood by the captives: ""You come from the camp of the pale-faces?"" ""Yes,"" replied the Maori.",ch050,0.823641,SUPPORT,run_20260225_221138,1,True
t_00056,86,86_c02,In search of the castaways,Kai-Koumou,Claim,Kai-Koumou cold,LATE,POS,0.7610273548634973,0.5772210138957065,castaways_ch053_w0005,"[901, 1137]","My dear Helena, my brave companions, we are now dead and buried; but this evening we will revive, we will leave our tomb, and flee from these barbarous tribes!"" It would be difficult to describe the joy that reigned within the palisade.",ch053,0.890438,SUPPORT,run_20260225_221138,1,True
