triple_id,id,claim_id,book_name,s,p,o,time_bucket,polarity,confidence,chunk_id,excerpt_span,excerpt_text,chapter_id,chunk_pos,support_label,run_id,best_rank,is_best
t_00013,31,31_c01,In search of the castaways,Tom Ayrton/Ben Joyce,Claim,He rescued the indigenous elder Yurook from colonists.,MID,POS,0.8097129629782918,castaways_ch000_w0298,"[349, 488]","Here is a mystery that the future will explain."" ""The police do not even know the identity of Ayrton and Ben Joyce,"" said Captain Mangles.",ch000,0.642586,SUPPORT,run_20260112_111511,1,True
t_00014,31,31_c02,In search of the castaways,Tom Ayrton/Ben Joyce,Claim,gained tribal protection,MID,POS,0.7995758552959924,castaways_ch000_w0298,"[349, 488]","Here is a mystery that the future will explain."" ""The police do not even know the identity of Ayrton and Ben Joyce,"" said Captain Mangles.",ch000,0.642586,SUPPORT,run_20260112_111511,3,False
t_00015,31,31_c03,In search of the castaways,Tom Ayrton/Ben Joyce,Claim,secretly mapping settler outposts.,MID,POS,0.8067930188751307,castaways_ch000_w0298,"[349, 488]","Here is a mystery that the future will explain."" ""The police do not even know the identity of Ayrton and Ben Joyce,"" said Captain Mangles.",ch000,0.642586,SUPPORT,run_20260112_111511,2,False
t_00016,68,68_c01,In search of the castaways,Kai-Koumou,Claim,At ten,LATE,POS,0.8198199689040612,castaways_ch000_w0381,"[0, 92]","were not more precious than yours!"" cried Kai-Koumou, whose eyes expressed a fierce regret.",ch000,0.819412,SUPPORT,run_20260112_111511,3,False
t_00017,68,68_c02,In search of the castaways,Kai-Koumou,Claim,At fourteen he single-handedly brought down a European bison that had trampled plantations,LATE,POS,0.8171946629210111,castaways_ch000_w0381,"[0, 92]","were not more precious than yours!"" cried Kai-Koumou, whose eyes expressed a fierce regret.",ch000,0.819412,SUPPORT,run_20260112_111511,4,False
t_00018,68,68_c03,In search of the castaways,Kai-Koumou,Claim,carved on the handle his father's death-bed chant.,LATE,POS,0.8312513400604303,castaways_ch000_w0381,"[0, 92]","were not more precious than yours!"" cried Kai-Koumou, whose eyes expressed a fierce regret.",ch000,0.819412,SUPPORT,run_20260112_111511,2,False
t_00019,68,68_c04,In search of the castaways,Kai-Koumou,Claim,gnaw the bones of enemies.'.,LATE,POS,0.8349014602761652,castaways_ch000_w0381,"[0, 92]","were not more precious than yours!"" cried Kai-Koumou, whose eyes expressed a fierce regret.",ch000,0.819412,SUPPORT,run_20260112_111511,1,True
t_00020,9,9_c02,In search of the castaways,Jacques Paganel,Claim,the romance ended,EARLY,POS,0.7971869175731953,castaways_ch000_w0020,"[61, 445]","Lady Helena related the story of the document, how that the Britannia had been lost on the shores of Patagonia; in what way, after the shipwreck, the captain and two sailors, the only survivors, must have reached the continent; and, at last, how they implored the assistance of the whole world in this document, written in three languages, and abandoned to the caprices of the ocean.",ch000,0.044593,SUPPORT,run_20260112_111511,1,True
t_00021,9,9_c02,In search of the castaways,Jacques Paganel,Claim,the romance ended,EARLY,POS,0.7814249203364125,castaways_ch000_w0140,"[14, 167]","Here they were introduced to Madame Ipharaguerre, who appeared to be ""a good-looking person,"" if this expression may be employed in regard to an Indian.",ch000,0.301878,SUPPORT,run_20260112_111511,2,False
t_00022,84,84_c02,In search of the castaways,Kai-Koumou,Claim,he took bones from their bodies as tokens,LATE,POS,0.7925268713033204,castaways_ch000_w0381,"[0, 92]","were not more precious than yours!"" cried Kai-Koumou, whose eyes expressed a fierce regret.",ch000,0.819412,SUPPORT,run_20260112_111511,3,False
t_00023,84,84_c03,In search of the castaways,Kai-Koumou,Claim,from that moment sealed his emotions.,LATE,POS,0.8318421538156155,castaways_ch000_w0381,"[0, 92]","were not more precious than yours!"" cried Kai-Koumou, whose eyes expressed a fierce regret.",ch000,0.819412,SUPPORT,run_20260112_111511,1,True
t_00024,84,84_c03,In search of the castaways,Kai-Koumou,Claim,from that moment sealed his emotions.,LATE,POS,0.8009559236281724,castaways_ch000_w0367,"[151, 203]",Whither did Kai-Koumou intend to take his captives?,ch000,0.78894,SUPPORT,run_20260112_111511,2,False
t_00025,83,83_c01,In search of the castaways,Kai-Koumou,Claim,At eighteen,LATE,POS,0.8271341339248881,castaways_ch000_w0381,"[0, 92]","were not more precious than yours!"" cried Kai-Koumou, whose eyes expressed a fierce regret.",ch000,0.819412,SUPPORT,run_20260112_111511,4,False
t_00026,83,83_c02,In search of the castaways,Kai-Koumou,Claim,the two fugitives pooled their languages.,LATE,POS,0.7916713081598282,castaways_ch000_w0376,"[0, 172]","native language ""The Irascible."" Kai-Koumou treated him with some respect, and from the delicacy of his tattooing it was evident that he occupied a high rank in his tribe.",ch000,0.808581,SUPPORT,run_20260112_111511,6,False
t_00027,83,83_c02,In search of the castaways,Kai-Koumou,Claim,the two fugitives pooled their languages.,LATE,POS,0.8583368635194042,castaways_ch000_w0366,"[514, 650]","Addressing Kai-Koumou, he said, in a fearless tone: ""Where are you taking us, chief?"" Kai-Koumou gazed at him coldly without answering.",ch000,0.786793,SUPPORT,run_20260112_111511,1,True
t_00028,83,83_c02,In search of the castaways,Kai-Koumou,Claim,the two fugitives pooled their languages.,LATE,POS,0.8469181072748746,castaways_ch000_w0381,"[0, 92]","were not more precious than yours!"" cried Kai-Koumou, whose eyes expressed a fierce regret.",ch000,0.819412,SUPPORT,run_20260112_111511,2,False
t_00029,83,83_c03,In search of the castaways,Kai-Koumou,Claim,survival skills,LATE,POS,0.8041093182255847,castaways_ch000_w0381,"[0, 92]","were not more precious than yours!"" cried Kai-Koumou, whose eyes expressed a fierce regret.",ch000,0.819412,SUPPORT,run_20260112_111511,5,False
t_00030,83,83_c04,In search of the castaways,Kai-Koumou,Claim,forged a brotherhood laced with mutual wariness.,LATE,POS,0.8275914323806542,castaways_ch000_w0381,"[0, 92]","were not more precious than yours!"" cried Kai-Koumou, whose eyes expressed a fierce regret.",ch000,0.819412,SUPPORT,run_20260112_111511,3,False
t_00031,134,134_c02,The Count of Monte Cristo,Faria,Claim,propagandist in a campaign against corrupt rulers.,EARLY,POS,0.8041344298465646,montecristo_ch000_w0060,"[0, 23]",strikingly dissimilar.,ch000,0.038678,SUPPORT,run_20260112_111511,1,True
t_00032,67,67_c01,In search of the castaways,Kai-Koumou,Claim,Born on New Zealand's North-island east coast to a Maori war-chief father.,LATE,POS,0.8118524613891797,castaways_ch000_w0381,"[0, 92]","were not more precious than yours!"" cried Kai-Koumou, whose eyes expressed a fierce regret.",ch000,0.819412,SUPPORT,run_20260112_111511,3,False
t_00033,67,67_c02,In search of the castaways,Kai-Koumou,Died,True,LATE,POS,0.814664504429085,castaways_ch000_w0381,"[0, 92]","were not more precious than yours!"" cried Kai-Koumou, whose eyes expressed a fierce regret.",ch000,0.819412,SUPPORT,run_20260112_111511,1,True
t_00034,67,67_c03,In search of the castaways,Kai-Koumou,Claim,star-reading,LATE,POS,0.8188470445871354,castaways_ch000_w0381,"[0, 92]","were not more precious than yours!"" cried Kai-Koumou, whose eyes expressed a fierce regret.",ch000,0.819412,SUPPORT,run_20260112_111511,1,True
t_00035,67,67_c04,In search of the castaways,Kai-Koumou,Claim,his mother tattooed a vengeance curse on his chest with ochre.,LATE,POS,0.8133371256365927,castaways_ch000_w0381,"[0, 92]","were not more precious than yours!"" cried Kai-Koumou, whose eyes expressed a fierce regret.",ch000,0.819412,SUPPORT,run_20260112_111511,2,False
t_00036,112,112_c01,The Count of Monte Cristo,Noirtier,Claim,Through underground circles he met the Count of Monte Cristo.,MID,POS,0.815670465707779,montecristo_ch000_w0831,"[0, 243]","him?” “Yes; it was he who saved the life of your step-mother and her son.” “The Count of Monte Cristo?” “The same.” “Ah,” cried Valentine, “he is too much the friend of Madame de Villefort ever to be mine.” “The friend of Madame de Villefort!",ch000,0.531638,SUPPORT,run_20260112_111511,1,True
t_00037,112,112_c01,The Count of Monte Cristo,Noirtier,Claim,Through underground circles he met the Count of Monte Cristo.,EARLY,POS,0.8118390086145533,montecristo_ch000_w0192,"[0, 364]","to speak of that letter to anyone, assuring me he so advised me for my own interest; and, more than this, he insisted on my taking a solemn oath never to utter the name mentioned in the address.” “Noirtier!” repeated the abbé; “Noirtier!—I knew a person of that name at the court of the Queen of Etruria,—a Noirtier, who had been a Girondin during the Revolution!",ch000,0.123188,SUPPORT,run_20260112_111511,2,False
t_00038,79,79_c01,In search of the castaways,Kai-Koumou,Claim,After the killing,LATE,POS,0.8125452012833246,castaways_ch000_w0381,"[0, 92]","were not more precious than yours!"" cried Kai-Koumou, whose eyes expressed a fierce regret.",ch000,0.819412,SUPPORT,run_20260112_111511,1,True
t_00039,55,55_c01,In search of the castaways,Thalcave,Claim,His first double role.,EARLY,POS,0.8247291804735923,castaways_ch000_w0150,"[420, 497]","the flood!"" replied Thalcave, spurring his horse towards the north.] ""Quick!",ch000,0.323606,SUPPORT,run_20260112_111511,2,False
t_00040,55,55_c01,In search of the castaways,Thalcave,Claim,His first double role.,MID,POS,0.8522078347642833,castaways_ch000_w0186,"[141, 307]","""But we have not a moment to lose, my lord, for the tide is beginning to ebb."" The last acknowledgments were given, and Thalcave accompanied his friends to the boat.",ch000,0.401251,SUPPORT,run_20260112_111511,1,True
t_00041,12,12_c01,In search of the castaways,Jacques Paganel,Claim,He declined to take part in charting the maiden voyage of the Britannia.,EARLY,POS,0.7904872068092309,castaways_ch000_w0046,"[0, 103]","there you will find a vessel to take you back to Europe."" ""I thank you, my lord, and must be resigned.",ch000,0.099572,SUPPORT,run_20260112_111511,2,False
t_00042,12,12_c01,In search of the castaways,Jacques Paganel,Claim,He declined to take part in charting the maiden voyage of the Britannia.,EARLY,POS,0.8461054736432344,castaways_ch000_w0043,"[105, 450]","Feeling fatigued by thirty hours of travel, and knowing that a good way to avoid sea-sickness is to go to bed on embarking, and not stir from your bunk for the first days of the voyage, I retired immediately, and have conscientiously slept thirty-six hours, I assure you."" Jacques Paganel's hearers now knew the reason of his presence on board.",ch000,0.093142,SUPPORT,run_20260112_111511,1,True
t_00043,65,65_c01,In search of the castaways,Thalcave,Claim,British officers marvelled that he handled canoe,LATE,POS,0.7931341823338781,castaways_ch000_w0419,"[0, 88]","attack of the natives, who, armed with their long guns, were already preparing to fire.",ch000,0.900899,SUPPORT,run_20260112_111511,1,True
t_00044,65,65_c03,In search of the castaways,Thalcave,Claim,preparing his later berth on the Dartmouth.,EARLY,POS,0.7877305519792657,castaways_ch000_w0128,"[72, 172]","""He is leaving us!"" cried he, seeing Thalcave gather up his reins as though he were about to mount.",ch000,0.275496,SUPPORT,run_20260112_111511,2,False
t_00045,107,107_c03,The Count of Monte Cristo,Noirtier,Claim,turned to family affairs.,MID,POS,0.827297406077385,montecristo_ch000_w0863,"[16, 141]","Noirtier to prevent his granddaughter marrying; old men are always so selfish in their affection,” said Madame de Villefort.",ch000,0.552176,SUPPORT,run_20260112_111511,1,True
t_00046,107,107_c03,The Count of Monte Cristo,Noirtier,Claim,turned to family affairs.,EARLY,POS,0.796139493296317,montecristo_ch000_w0074,"[0, 128]","interfere, unless he acted with the greatest prudence, with his own career, Gérard de Villefort was as happy as a man could be.",ch000,0.047908,SUPPORT,run_20260112_111511,2,False
t_00047,107,107_c03,The Count of Monte Cristo,Noirtier,Claim,turned to family affairs.,MID,POS,0.7845763484440655,montecristo_ch000_w0864,"[263, 527]",It would be noble to see Mademoiselle Noirtier de Villefort assuming the title of Madame Franz d’Épinay.” Villefort shuddered and looked at Monte Cristo as if he wished to read in his countenance the real feelings which had dictated the words he had just uttered.,ch000,0.552845,SUPPORT,run_20260112_111511,3,False
t_00048,66,66_c01,In search of the castaways,Thalcave,Claim,Lord Glenarvan met him briefly at a London Royal Geographical Society dinner,MID,POS,0.8303491057385701,castaways_ch000_w0213,"[0, 47]",worthy of the house and its hardy inhabitants.,ch000,0.459254,SUPPORT,run_20260112_111511,1,True
t_00049,89,89_c01,The Count of Monte Cristo,Noirtier,Claim,Arguing for procedural justice at Louis XVI's trial.,EARLY,POS,0.8000594644962163,montecristo_ch000_w0060,"[0, 23]",strikingly dissimilar.,ch000,0.038678,SUPPORT,run_20260112_111511,1,True
t_00050,89,89_c01,The Count of Monte Cristo,Noirtier,Claim,Arguing for procedural justice at Louis XVI's trial.,EARLY,POS,0.7834732579368889,montecristo_ch000_w0127,"[88, 446]","“Well,” he said, turning towards his wondering son, when this disguise was completed, “well, do you think your police will recognize me now.” “No, father,” stammered Villefort; “at least, I hope not.” “And now, my dear boy,” continued Noirtier, “I rely on your prudence to remove all the things which I leave in your care.” “Oh, rely on me,” said Villefort.",ch000,0.081697,SUPPORT,run_20260112_111511,3,False
t_00051,89,89_c01,The Count of Monte Cristo,Noirtier,Claim,Arguing for procedural justice at Louis XVI's trial.,LATE,POS,0.7956640325491604,montecristo_ch000_w1438,"[0, 32]",jealousy of some unknown enemy.,ch000,0.922837,SUPPORT,run_20260112_111511,2,False
t_00052,34,34_c01,In search of the castaways,Tom Ayrton/Ben Joyce,Claim,He found ship's papers that mentioned an illicit Australian land deal by a British peer.,LATE,POS,0.8222735599547004,castaways_ch000_w0422,"[309, 324]","""Yes, my lord.",ch000,0.907348,SUPPORT,run_20260112_111511,1,True
t_00053,99,99_c02,The Count of Monte Cristo,Noirtier,Claim,his mother's gentler sensibility,MID,POS,0.8074620351715301,montecristo_ch000_w0593,"[0, 80]","majesty of a queen, “I owe to you the life of my son, and for this I bless you.",ch000,0.378954,SUPPORT,run_20260112_111511,2,False
t_00054,99,99_c02,The Count of Monte Cristo,Noirtier,Claim,his mother's gentler sensibility,MID,POS,0.8125634458569571,montecristo_ch000_w0865,"[6, 320]","Noirtier disinherits Mademoiselle de Villefort because she is going to marry a man whose father he detested, he cannot have the same cause of complaint against this dear Edward.” “True,” said Madame de Villefort, with an intonation of voice which it is impossible to describe; “is it not unjust—shamefully unjust?",ch000,0.553498,SUPPORT,run_20260112_111511,1,True
t_00055,43,43_c02,In search of the castaways,Tom Ayrton/Ben Joyce,Claim,fled to the Southern Hemisphere.,MID,POS,0.8165972005280625,castaways_ch000_w0298,"[349, 488]","Here is a mystery that the future will explain."" ""The police do not even know the identity of Ayrton and Ben Joyce,"" said Captain Mangles.",ch000,0.642586,SUPPORT,run_20260112_111511,1,True
t_00056,43,43_c02,In search of the castaways,Tom Ayrton/Ben Joyce,Claim,fled to the Southern Hemisphere.,LATE,POS,0.7947481391283499,castaways_ch000_w0421,"[537, 681]","These were spectres, not the bold and dashing travelers whom, three months before, hope had stimulated to a search for the shipwrecked captain.",ch000,0.905168,SUPPORT,run_20260112_111511,2,False
t_00057,108,108_c02,The Count of Monte Cristo,Noirtier,Claim,pinned on his son Villefort the hope that the boy would carry his ideals forward.,EARLY,POS,0.8109658340506608,montecristo_ch000_w0127,"[88, 446]","“Well,” he said, turning towards his wondering son, when this disguise was completed, “well, do you think your police will recognize me now.” “No, father,” stammered Villefort; “at least, I hope not.” “And now, my dear boy,” continued Noirtier, “I rely on your prudence to remove all the things which I leave in your care.” “Oh, rely on me,” said Villefort.",ch000,0.081697,SUPPORT,run_20260112_111511,2,False
t_00058,108,108_c02,The Count of Monte Cristo,Noirtier,Claim,pinned on his son Villefort the hope that the boy would carry his ideals forward.,MID,POS,0.8259775004297236,montecristo_ch000_w0688,"[0, 217]","to train or curl it, fell over his projecting forehead, and hung down to his shoulders, giving increased vivacity to eyes already sparkling with a youthful love of mischief and fondness for every forbidden enjoyment.",ch000,0.439669,SUPPORT,run_20260112_111511,1,True
t_00059,108,108_c02,The Count of Monte Cristo,Noirtier,Claim,pinned on his son Villefort the hope that the boy would carry his ideals forward.,EARLY,POS,0.7990605684667959,montecristo_ch000_w0018,"[0, 51]","why did you refuse, my son?” inquired the old man.",ch000,0.0117,SUPPORT,run_20260112_111511,3,False
t_00060,29,29_c01,In search of the castaways,Tom Ayrton/Ben Joyce,Claim,The night before the mate was hanged he pressed a dagger engraved with his family crest into the boy's hand.,MID,POS,0.7958092951499183,castaways_ch000_w0298,"[349, 488]","Here is a mystery that the future will explain."" ""The police do not even know the identity of Ayrton and Ben Joyce,"" said Captain Mangles.",ch000,0.642586,SUPPORT,run_20260112_111511,1,True
t_00061,69,69_c01,In search of the castaways,Kai-Koumou,Claim,At seventeen he was poisoned by an uncle during a succession struggle.,LATE,POS,0.7939174501314806,castaways_ch000_w0381,"[0, 92]","were not more precious than yours!"" cried Kai-Koumou, whose eyes expressed a fierce regret.",ch000,0.819412,SUPPORT,run_20260112_111511,2,False
t_00062,69,69_c04,In search of the castaways,Kai-Koumou,Claim,picked up basic French,LATE,POS,0.8225555957868897,castaways_ch000_w0381,"[0, 92]","were not more precious than yours!"" cried Kai-Koumou, whose eyes expressed a fierce regret.",ch000,0.819412,SUPPORT,run_20260112_111511,1,True
t_00063,69,69_c05,In search of the castaways,Kai-Koumou,Claim,sacrificed every prisoner to the volcano-god.,LATE,POS,0.7895426547460499,castaways_ch000_w0381,"[0, 92]","were not more precious than yours!"" cried Kai-Koumou, whose eyes expressed a fierce regret.",ch000,0.819412,SUPPORT,run_20260112_111511,3,False
t_00064,50,50_c01,In search of the castaways,Thalcave,Died,True,EARLY,POS,0.8141321393422666,castaways_ch000_w0126,"[1034, 1204]","Well done, Thalcave, my brave Patagonian!"" cried he, as the Indian killed with the butt of his gun two enormous beasts that were attempting to cross the glowing barrier.",ch000,0.271185,NEUTRAL,run_20260112_111511,1,True
t_00065,50,50_c01,In search of the castaways,Thalcave,Claim,He saved an old shepherd bitten by a viper.,MID,POS,0.8032913539541877,castaways_ch000_w0255,"[0, 6]",thus.,ch000,0.549732,SUPPORT,run_20260112_111511,3,False
t_00066,50,50_c01,In search of the castaways,Thalcave,Claim,He saved an old shepherd bitten by a viper.,EARLY,POS,0.8465931907944807,castaways_ch000_w0151,"[1495, 1638]","""Yes, yonder!"" replied Thalcave, and he pointed northward to a kind of gigantic walnut-tree, which rose solitary from the midst of the waters.",ch000,0.325802,SUPPORT,run_20260112_111511,2,False
t_00067,50,50_c02,In search of the castaways,Thalcave,Claim,in gratitude the man gave him a secret map of pampas water-holes.,EARLY,POS,0.8802163709427772,castaways_ch000_w0123,"[63, 126]","""No,"" replied Thalcave, ""aguaras."" Robert looked at Glenarvan.",ch000,0.264828,SUPPORT,run_20260112_111511,1,True
t_00068,5,5_c01,In search of the castaways,Jacques Paganel,Claim,During an Algerian geological survey he shielded a box of specimens in a sand-storm,MID,POS,0.8688972176487894,castaways_ch000_w0201,"[220, 315]","When the captain perceived the ladies, he approached and besought them to return to the cabin.",ch000,0.433518,SUPPORT,run_20260112_111511,1,True
t_00069,5,5_c01,In search of the castaways,Jacques Paganel,Claim,During an Algerian geological survey he shielded a box of specimens in a sand-storm,EARLY,POS,0.7913577022033373,castaways_ch000_w0020,"[61, 445]","Lady Helena related the story of the document, how that the Britannia had been lost on the shores of Patagonia; in what way, after the shipwreck, the captain and two sailors, the only survivors, must have reached the continent; and, at last, how they implored the assistance of the whole world in this document, written in three languages, and abandoned to the caprices of the ocean.",ch000,0.044593,SUPPORT,run_20260112_111511,3,False
t_00070,5,5_c02,In search of the castaways,Jacques Paganel,Claim,afterwards often mixed up dates.,EARLY,POS,0.7935130257192862,castaways_ch000_w0020,"[61, 445]","Lady Helena related the story of the document, how that the Britannia had been lost on the shores of Patagonia; in what way, after the shipwreck, the captain and two sailors, the only survivors, must have reached the continent; and, at last, how they implored the assistance of the whole world in this document, written in three languages, and abandoned to the caprices of the ocean.",ch000,0.044593,SUPPORT,run_20260112_111511,2,False
t_00071,39,39_c02,In search of the castaways,Tom Ayrton/Ben Joyce,Claim,shipped on the Liverpool.,MID,POS,0.8089877597753676,castaways_ch000_w0298,"[349, 488]","Here is a mystery that the future will explain."" ""The police do not even know the identity of Ayrton and Ben Joyce,"" said Captain Mangles.",ch000,0.642586,SUPPORT,run_20260112_111511,1,True
t_00072,39,39_c03,In search of the castaways,Tom Ayrton/Ben Joyce,Claim,Lisbon trader,MID,POS,0.7934295773573337,castaways_ch000_w0298,"[349, 488]","Here is a mystery that the future will explain."" ""The police do not even know the identity of Ayrton and Ben Joyce,"" said Captain Mangles.",ch000,0.642586,SUPPORT,run_20260112_111511,2,False
t_00073,19,19_c02,In search of the castaways,Jacques Paganel,Claim,English he was posted to a Mediterranean merchant fleet where he learned basic seamanship.,EARLY,POS,0.8091123611737594,castaways_ch000_w0043,"[105, 450]","Feeling fatigued by thirty hours of travel, and knowing that a good way to avoid sea-sickness is to go to bed on embarking, and not stir from your bunk for the first days of the voyage, I retired immediately, and have conscientiously slept thirty-six hours, I assure you."" Jacques Paganel's hearers now knew the reason of his presence on board.",ch000,0.093142,SUPPORT,run_20260112_111511,1,True
t_00074,139,139_c01,The Count of Monte Cristo,Faria,Claim,Enlightenment ideals of liberty,EARLY,POS,0.8175167917013169,montecristo_ch000_w0062,"[0, 3]",M.,ch000,0.040022,SUPPORT,run_20260112_111511,1,True
t_00075,71,71_c02,In search of the castaways,Kai-Koumou,Claim,battered them with captured European cannon.,LATE,POS,0.8155734328659904,castaways_ch000_w0381,"[0, 92]","were not more precious than yours!"" cried Kai-Koumou, whose eyes expressed a fierce regret.",ch000,0.819412,SUPPORT,run_20260112_111511,2,False
t_00076,71,71_c03,In search of the castaways,Kai-Koumou,Claim,the victory won him the name 'Bone-Eater,LATE,POS,0.8046807093564443,castaways_ch000_w0381,"[0, 92]","were not more precious than yours!"" cried Kai-Koumou, whose eyes expressed a fierce regret.",ch000,0.819412,SUPPORT,run_20260112_111511,4,False
t_00077,71,71_c04,In search of the castaways,Kai-Koumou,Claim,shrapnel crippled his left leg.,LATE,POS,0.8102854950712638,castaways_ch000_w0381,"[0, 92]","were not more precious than yours!"" cried Kai-Koumou, whose eyes expressed a fierce regret.",ch000,0.819412,SUPPORT,run_20260112_111511,3,False
t_00078,71,71_c05,In search of the castaways,Kai-Koumou,Claim,he thereafter leaned on a peach-wood staff carved with sea-monster totems.,LATE,POS,0.8268654020502746,castaways_ch000_w0381,"[0, 92]","were not more precious than yours!"" cried Kai-Koumou, whose eyes expressed a fierce regret.",ch000,0.819412,SUPPORT,run_20260112_111511,1,True
t_00079,26,26_c01,In search of the castaways,Tom Ayrton/Ben Joyce,BornIn,Liverpool's,MID,POS,0.7975797932976043,castaways_ch000_w0298,"[349, 488]","Here is a mystery that the future will explain."" ""The police do not even know the identity of Ayrton and Ben Joyce,"" said Captain Mangles.",ch000,0.642586,SUPPORT,run_20260112_111511,1,True
t_00080,26,26_c02,In search of the castaways,Tom Ayrton/Ben Joyce,Died,True,MID,POS,0.7912959195088712,castaways_ch000_w0298,"[349, 488]","Here is a mystery that the future will explain."" ""The police do not even know the identity of Ayrton and Ben Joyce,"" said Captain Mangles.",ch000,0.642586,SUPPORT,run_20260112_111511,4,False
